X	SMILES	REFIDX_R	REFIDX_G	REFIDX_B	Molecular.Weight	Molecular.Weight.Except.Hydrogens	Maximum.Partial.Charge	Minimum.Partial.Charge	Number.of.Labute.Accessible.Surface.Area	Number.of.Topological.Polar.Surface.Area	Number.of.Aromatic.Carbocycles	Number.of.Aromatic.Heterocycles	Number.of.H.bond.Acceptor	Number.of.Lipinski.H.bond.Acceptor	Number.of.Heteroatoms
380	ClC1=CC=C2C=C(C3=CC=C(N(C4=CC=C(C5=CC=C6C=CC=CC6=C5)C=C4)C4=CC=C(C5=NC6=C(O5)C5=CC=CC=C5C5=C6C=CC=C5)C=C4)C=C3)C=CC2=C1	2.0061	2.3258	2.6223	748.2281414	716.049	0.226864211	-0.43540916	334.202274	29.27	10	1	0	0	4
381	N#CC1=CC=C(N(C2=CC=C(C3=NC4=C(C=CC=C4)O3)C=C2)C2=CC=C(C3=NC4=C(S3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C=C1	1.988	2.3252	2.6714	620.1670824	596.545	0.226807953	-0.436094686	273.777782	65.95	7	2	0	0	6
382	BrC1=CC=C2SC(C3=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=NC(C4=NC5=C(O4)C4=C(C=CC=C4)C4=CC=CC=C45)=N3)=NC2=C1	2.0033	2.3246	2.6442	897.8455375	884.327	0.265765777	-0.432842986	326.369924	90.48	7	4	0	0	12
383	C1=CC=C2OC(C3=CC=C(N(C4=CC=C(C5=NC6=C(C=CC=C6)O5)C=C4)C4=CC=C(C5=NC6=C(C=CC=C6)O5)C=C4)C=C3)=NC2=C1	1.9728	2.3244	2.6826	596.1848406	572.454	0.226807953	-0.436094686	262.5636332	81.33	6	3	0	0	7
384	BrC1=CC=C2N=C(C3=NC(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(I)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=C(I)C=C4)C4=CC(I)=CC=C45)=N3)SC2=C1	1.9987	2.3238	2.6454	1135.691614	1121.299	0.192563441	-0.232623517	361.2663771	77.34	7	4	0	0	13
385	N#CC1=CC=C(N(C2=CC=C(C3=NC4=C(C=CC=C4)S3)C=C2)C2=CC=C(C3=NC4=C(S3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C=C1	1.9848	2.3236	2.6775	636.1442388	612.613	0.124153376	-0.310503685	278.623816	52.81	7	2	0	0	6
386	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC(I)=CC=C34)=NC(C3=NC4=C(C=CC=C4)S3)=N2)S1	2.009	2.3234	2.6254	961.8088297	947.395	0.192563441	-0.232624896	336.6102485	77.34	7	4	0	0	12
387	C1=CC=C(N(C2=CC=C(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C2=CC=C(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)C=C2)C=C1	1.9784	2.3229	2.6913	679.2259772	650.547	0.226864211	-0.43540916	303.5375553	55.3	9	2	0	0	5
388	BrC1=CC=C2SC(C3=NC(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(I)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=N3)=NC2=C1	2.0084	2.3224	2.6276	1039.719342	1027.299	0.192563441	-0.232583051	350.4777961	77.34	7	4	0	0	13
389	BrC1=CC=C2N=C(C3=NC(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(I)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=N3)SC2=C1	2.0031	2.3221	2.6349	1039.719342	1027.299	0.192563441	-0.232623517	350.4777961	77.34	7	4	0	0	13
